Date,Open,High,Low,Close,Adj Close,Volume
02/01/1962,3.88,3.88,3.88,3.88,3.88,0
03/01/1962,3.87,3.87,3.87,3.87,3.87,0
04/01/1962,3.86,3.86,3.86,3.86,3.86,0
05/01/1962,3.89,3.89,3.89,3.89,3.89,0
07/01/1962,null,null,null,null,null,null
08/01/1962,3.91,3.91,3.91,3.91,3.91,0
09/01/1962,3.93,3.93,3.93,3.93,3.93,0
10/01/1962,3.94,3.94,3.94,3.94,3.94,0
11/01/1962,3.94,3.94,3.94,3.94,3.94,0
12/01/1962,3.95,3.95,3.95,3.95,3.95,0
14/01/1962,null,null,null,null,null,null
15/01/1962,3.96,3.96,3.96,3.96,3.96,0
16/01/1962,3.98,3.98,3.98,3.98,3.98,0
17/01/1962,3.97,3.97,3.97,3.97,3.97,0
18/01/1962,3.96,3.96,3.96,3.96,3.96,0
19/01/1962,3.95,3.95,3.95,3.95,3.95,0
21/01/1962,null,null,null,null,null,null
22/01/1962,3.93,3.93,3.93,3.93,3.93,0
23/01/1962,3.94,3.94,3.94,3.94,3.94,0
24/01/1962,3.93,3.93,3.93,3.93,3.93,0
25/01/1962,3.94,3.94,3.94,3.94,3.94,0
26/01/1962,3.97,3.97,3.97,3.97,3.97,0
28/01/1962,null,null,null,null,null,null
29/01/1962,3.98,3.98,3.98,3.98,3.98,0
30/01/1962,3.98,3.98,3.98,3.98,3.98,0
31/01/1962,3.99,3.99,3.99,3.99,3.99,0
01/02/1962,4,4,4,4,4,0
02/02/1962,3.97,3.97,3.97,3.97,3.97,0
04/02/1962,null,null,null,null,null,null
05/02/1962,3.96,3.96,3.96,3.96,3.96,0
06/02/1962,3.96,3.96,3.96,3.96,3.96,0
07/02/1962,3.95,3.95,3.95,3.95,3.95,0
08/02/1962,3.93,3.93,3.93,3.93,3.93,0
09/02/1962,3.91,3.91,3.91,3.91,3.91,0
11/02/1962,null,null,null,null,null,null
12/02/1962,null,null,null,null,null,null
13/02/1962,3.91,3.91,3.91,3.91,3.91,0
14/02/1962,3.9,3.9,3.9,3.9,3.9,0
15/02/1962,3.9,3.9,3.9,3.9,3.9,0
16/02/1962,3.88,3.88,3.88,3.88,3.88,0
18/02/1962,null,null,null,null,null,null
19/02/1962,3.86,3.86,3.86,3.86,3.86,0
20/02/1962,3.88,3.88,3.88,3.88,3.88,0
21/02/1962,3.86,3.86,3.86,3.86,3.86,0
22/02/1962,null,null,null,null,null,null
23/02/1962,3.83,3.83,3.83,3.83,3.83,0
25/02/1962,null,null,null,null,null,null
26/02/1962,3.8,3.8,3.8,3.8,3.8,0
27/02/1962,3.8,3.8,3.8,3.8,3.8,0
28/02/1962,3.77,3.77,3.77,3.77,3.77,0
01/03/1962,3.71,3.71,3.71,3.71,3.71,0
02/03/1962,3.72,3.72,3.72,3.72,3.72,0
04/03/1962,null,null,null,null,null,null
05/03/1962,3.74,3.74,3.74,3.74,3.74,0
06/03/1962,3.74,3.74,3.74,3.74,3.74,0
07/03/1962,3.74,3.74,3.74,3.74,3.74,0
08/03/1962,3.72,3.72,3.72,3.72,3.72,0
09/03/1962,3.71,3.71,3.71,3.71,3.71,0
11/03/1962,null,null,null,null,null,null
12/03/1962,3.73,3.73,3.73,3.73,3.73,0
13/03/1962,3.7,3.7,3.7,3.7,3.7,0
14/03/1962,3.72,3.72,3.72,3.72,3.72,0
15/03/1962,3.73,3.73,3.73,3.73,3.73,0
16/03/1962,3.72,3.72,3.72,3.72,3.72,0
18/03/1962,null,null,null,null,null,null
19/03/1962,3.71,3.71,3.71,3.71,3.71,0
20/03/1962,3.67,3.67,3.67,3.67,3.67,0
21/03/1962,3.61,3.61,3.61,3.61,3.61,0
22/03/1962,3.58,3.58,3.58,3.58,3.58,0
23/03/1962,3.62,3.62,3.62,3.62,3.62,0
25/03/1962,null,null,null,null,null,null
26/03/1962,3.65,3.65,3.65,3.65,3.65,0
27/03/1962,3.65,3.65,3.65,3.65,3.65,0
28/03/1962,3.64,3.64,3.64,3.64,3.64,0
29/03/1962,3.64,3.64,3.64,3.64,3.64,0
30/03/1962,3.61,3.61,3.61,3.61,3.61,0
01/04/1962,null,null,null,null,null,null
02/04/1962,3.58,3.58,3.58,3.58,3.58,0
03/04/1962,3.55,3.55,3.55,3.55,3.55,0
04/04/1962,3.51,3.51,3.51,3.51,3.51,0
05/04/1962,3.56,3.56,3.56,3.56,3.56,0
06/04/1962,3.55,3.55,3.55,3.55,3.55,0
08/04/1962,null,null,null,null,null,null
09/04/1962,3.57,3.57,3.57,3.57,3.57,0
10/04/1962,3.57,3.57,3.57,3.57,3.57,0
11/04/1962,3.61,3.61,3.61,3.61,3.61,0
12/04/1962,3.61,3.61,3.61,3.61,3.61,0
13/04/1962,3.6,3.6,3.6,3.6,3.6,0
15/04/1962,null,null,null,null,null,null
16/04/1962,3.6,3.6,3.6,3.6,3.6,0
17/04/1962,3.6,3.6,3.6,3.6,3.6,0
18/04/1962,3.6,3.6,3.6,3.6,3.6,0
19/04/1962,3.6,3.6,3.6,3.6,3.6,0
20/04/1962,null,null,null,null,null,null
22/04/1962,null,null,null,null,null,null
23/04/1962,3.63,3.63,3.63,3.63,3.63,0
24/04/1962,3.65,3.65,3.65,3.65,3.65,0
25/04/1962,3.66,3.66,3.66,3.66,3.66,0
26/04/1962,3.66,3.66,3.66,3.66,3.66,0
27/04/1962,3.64,3.64,3.64,3.64,3.64,0
29/04/1962,null,null,null,null,null,null
30/04/1962,3.64,3.64,3.64,3.64,3.64,0
01/05/1962,3.63,3.63,3.63,3.63,3.63,0
02/05/1962,3.64,3.64,3.64,3.64,3.64,0
03/05/1962,3.64,3.64,3.64,3.64,3.64,0
04/05/1962,3.64,3.64,3.64,3.64,3.64,0
06/05/1962,null,null,null,null,null,null
07/05/1962,3.64,3.64,3.64,3.64,3.64,0
08/05/1962,3.62,3.62,3.62,3.62,3.62,0
09/05/1962,3.6,3.6,3.6,3.6,3.6,0
10/05/1962,3.61,3.61,3.61,3.61,3.61,0
11/05/1962,3.61,3.61,3.61,3.61,3.61,0
13/05/1962,null,null,null,null,null,null
14/05/1962,3.63,3.63,3.63,3.63,3.63,0
15/05/1962,3.67,3.67,3.67,3.67,3.67,0
16/05/1962,3.67,3.67,3.67,3.67,3.67,0
17/05/1962,3.67,3.67,3.67,3.67,3.67,0
18/05/1962,3.72,3.72,3.72,3.72,3.72,0
20/05/1962,null,null,null,null,null,null
21/05/1962,3.74,3.74,3.74,3.74,3.74,0
22/05/1962,3.71,3.71,3.71,3.71,3.71,0
23/05/1962,3.69,3.69,3.69,3.69,3.69,0
24/05/1962,3.68,3.68,3.68,3.68,3.68,0
25/05/1962,3.66,3.66,3.66,3.66,3.66,0
27/05/1962,null,null,null,null,null,null
28/05/1962,3.65,3.65,3.65,3.65,3.65,0
29/05/1962,3.66,3.66,3.66,3.66,3.66,0
30/05/1962,null,null,null,null,null,null
31/05/1962,3.66,3.66,3.66,3.66,3.66,0
01/06/1962,3.64,3.64,3.64,3.64,3.64,0
03/06/1962,null,null,null,null,null,null
04/06/1962,3.63,3.63,3.63,3.63,3.63,0
05/06/1962,3.64,3.64,3.64,3.64,3.64,0
06/06/1962,3.62,3.62,3.62,3.62,3.62,0
07/06/1962,3.6,3.6,3.6,3.6,3.6,0
08/06/1962,3.6,3.6,3.6,3.6,3.6,0
10/06/1962,null,null,null,null,null,null
11/06/1962,3.59,3.59,3.59,3.59,3.59,0
12/06/1962,3.57,3.57,3.57,3.57,3.57,0
13/06/1962,3.57,3.57,3.57,3.57,3.57,0
14/06/1962,3.6,3.6,3.6,3.6,3.6,0
15/06/1962,3.6,3.6,3.6,3.6,3.6,0
17/06/1962,null,null,null,null,null,null
18/06/1962,3.61,3.61,3.61,3.61,3.61,0
19/06/1962,3.64,3.64,3.64,3.64,3.64,0
20/06/1962,3.63,3.63,3.63,3.63,3.63,0
21/06/1962,3.61,3.61,3.61,3.61,3.61,0
22/06/1962,3.61,3.61,3.61,3.61,3.61,0
24/06/1962,null,null,null,null,null,null
25/06/1962,3.68,3.68,3.68,3.68,3.68,0
26/06/1962,3.71,3.71,3.71,3.71,3.71,0
27/06/1962,3.68,3.68,3.68,3.68,3.68,0
28/06/1962,3.76,3.76,3.76,3.76,3.76,0
29/06/1962,3.76,3.76,3.76,3.76,3.76,0
01/07/1962,null,null,null,null,null,null
02/07/1962,3.77,3.77,3.77,3.77,3.77,0
03/07/1962,3.76,3.76,3.76,3.76,3.76,0
04/07/1962,null,null,null,null,null,null
05/07/1962,3.78,3.78,3.78,3.78,3.78,0
06/07/1962,3.79,3.79,3.79,3.79,3.79,0
08/07/1962,null,null,null,null,null,null
09/07/1962,3.83,3.83,3.83,3.83,3.83,0
10/07/1962,3.81,3.81,3.81,3.81,3.81,0
11/07/1962,3.77,3.77,3.77,3.77,3.77,0
12/07/1962,3.78,3.78,3.78,3.78,3.78,0
13/07/1962,3.78,3.78,3.78,3.78,3.78,0
15/07/1962,null,null,null,null,null,null
16/07/1962,3.8,3.8,3.8,3.8,3.8,0
17/07/1962,3.82,3.82,3.82,3.82,3.82,0
18/07/1962,3.83,3.83,3.83,3.83,3.83,0
19/07/1962,3.83,3.83,3.83,3.83,3.83,0
20/07/1962,3.82,3.82,3.82,3.82,3.82,0
22/07/1962,null,null,null,null,null,null
23/07/1962,3.81,3.81,3.81,3.81,3.81,0
24/07/1962,3.82,3.82,3.82,3.82,3.82,0
25/07/1962,3.83,3.83,3.83,3.83,3.83,0
26/07/1962,3.82,3.82,3.82,3.82,3.82,0
27/07/1962,3.79,3.79,3.79,3.79,3.79,0
29/07/1962,null,null,null,null,null,null
30/07/1962,3.81,3.81,3.81,3.81,3.81,0
31/07/1962,3.82,3.82,3.82,3.82,3.82,0
01/08/1962,3.8,3.8,3.8,3.8,3.8,0
02/08/1962,3.76,3.76,3.76,3.76,3.76,0
03/08/1962,3.77,3.77,3.77,3.77,3.77,0
05/08/1962,null,null,null,null,null,null
06/08/1962,3.76,3.76,3.76,3.76,3.76,0
07/08/1962,3.79,3.79,3.79,3.79,3.79,0
08/08/1962,3.78,3.78,3.78,3.78,3.78,0
09/08/1962,3.76,3.76,3.76,3.76,3.76,0
10/08/1962,3.76,3.76,3.76,3.76,3.76,0
12/08/1962,null,null,null,null,null,null
13/08/1962,3.74,3.74,3.74,3.74,3.74,0
14/08/1962,3.73,3.73,3.73,3.73,3.73,0
15/08/1962,3.72,3.72,3.72,3.72,3.72,0
16/08/1962,3.69,3.69,3.69,3.69,3.69,0
17/08/1962,3.69,3.69,3.69,3.69,3.69,0
19/08/1962,null,null,null,null,null,null
20/08/1962,3.66,3.66,3.66,3.66,3.66,0
21/08/1962,3.66,3.66,3.66,3.66,3.66,0
22/08/1962,3.66,3.66,3.66,3.66,3.66,0
23/08/1962,3.66,3.66,3.66,3.66,3.66,0
24/08/1962,3.66,3.66,3.66,3.66,3.66,0
26/08/1962,null,null,null,null,null,null
27/08/1962,3.67,3.67,3.67,3.67,3.67,0
28/08/1962,3.67,3.67,3.67,3.67,3.67,0
29/08/1962,3.67,3.67,3.67,3.67,3.67,0
30/08/1962,3.66,3.66,3.66,3.66,3.66,0
31/08/1962,3.66,3.66,3.66,3.66,3.66,0
02/09/1962,null,null,null,null,null,null
03/09/1962,null,null,null,null,null,null
04/09/1962,3.67,3.67,3.67,3.67,3.67,0
05/09/1962,3.68,3.68,3.68,3.68,3.68,0
06/09/1962,3.72,3.72,3.72,3.72,3.72,0
07/09/1962,3.74,3.74,3.74,3.74,3.74,0
09/09/1962,null,null,null,null,null,null
10/09/1962,3.72,3.72,3.72,3.72,3.72,0
11/09/1962,3.72,3.72,3.72,3.72,3.72,0
12/09/1962,3.72,3.72,3.72,3.72,3.72,0
13/09/1962,3.72,3.72,3.72,3.72,3.72,0
14/09/1962,3.72,3.72,3.72,3.72,3.72,0
16/09/1962,null,null,null,null,null,null
17/09/1962,3.71,3.71,3.71,3.71,3.71,0
18/09/1962,3.71,3.71,3.71,3.71,3.71,0
19/09/1962,3.71,3.71,3.71,3.71,3.71,0
20/09/1962,3.71,3.71,3.71,3.71,3.71,0
21/09/1962,3.71,3.71,3.71,3.71,3.71,0
23/09/1962,null,null,null,null,null,null
24/09/1962,3.69,3.69,3.69,3.69,3.69,0
25/09/1962,3.68,3.68,3.68,3.68,3.68,0
26/09/1962,3.67,3.67,3.67,3.67,3.67,0
27/09/1962,3.67,3.67,3.67,3.67,3.67,0
28/09/1962,3.66,3.66,3.66,3.66,3.66,0
30/09/1962,null,null,null,null,null,null
01/10/1962,3.64,3.64,3.64,3.64,3.64,0
02/10/1962,3.62,3.62,3.62,3.62,3.62,0
03/10/1962,3.6,3.6,3.6,3.6,3.6,0
04/10/1962,3.6,3.6,3.6,3.6,3.6,0
05/10/1962,3.62,3.62,3.62,3.62,3.62,0
07/10/1962,null,null,null,null,null,null
08/10/1962,3.64,3.64,3.64,3.64,3.64,0
09/10/1962,3.64,3.64,3.64,3.64,3.64,0
10/10/1962,3.62,3.62,3.62,3.62,3.62,0
11/10/1962,3.63,3.63,3.63,3.63,3.63,0
12/10/1962,null,null,null,null,null,null
14/10/1962,null,null,null,null,null,null
15/10/1962,3.63,3.63,3.63,3.63,3.63,0
16/10/1962,3.63,3.63,3.63,3.63,3.63,0
17/10/1962,3.64,3.64,3.64,3.64,3.64,0
18/10/1962,3.63,3.63,3.63,3.63,3.63,0
19/10/1962,3.62,3.62,3.62,3.62,3.62,0
21/10/1962,null,null,null,null,null,null
22/10/1962,3.64,3.64,3.64,3.64,3.64,0
23/10/1962,3.67,3.67,3.67,3.67,3.67,0
24/10/1962,3.67,3.67,3.67,3.67,3.67,0
25/10/1962,3.67,3.67,3.67,3.67,3.67,0
26/10/1962,3.65,3.65,3.65,3.65,3.65,0
28/10/1962,null,null,null,null,null,null
29/10/1962,3.64,3.64,3.64,3.64,3.64,0
30/10/1962,3.63,3.63,3.63,3.63,3.63,0
31/10/1962,3.64,3.64,3.64,3.64,3.64,0
01/11/1962,3.63,3.63,3.63,3.63,3.63,0
02/11/1962,3.62,3.62,3.62,3.62,3.62,0
04/11/1962,null,null,null,null,null,null
05/11/1962,3.61,3.61,3.61,3.61,3.61,0
06/11/1962,null,null,null,null,null,null
07/11/1962,3.6,3.6,3.6,3.6,3.6,0
08/11/1962,3.59,3.59,3.59,3.59,3.59,0
09/11/1962,3.57,3.57,3.57,3.57,3.57,0
11/11/1962,null,null,null,null,null,null
12/11/1962,null,null,null,null,null,null
13/11/1962,3.58,3.58,3.58,3.58,3.58,0
14/11/1962,3.59,3.59,3.59,3.59,3.59,0
15/11/1962,3.59,3.59,3.59,3.59,3.59,0
16/11/1962,3.63,3.63,3.63,3.63,3.63,0
18/11/1962,null,null,null,null,null,null
19/11/1962,3.62,3.62,3.62,3.62,3.62,0
20/11/1962,3.61,3.61,3.61,3.61,3.61,0
21/11/1962,3.59,3.59,3.59,3.59,3.59,0
