Date,Close
1968-04-01,37
1968-04-02,37
1968-04-03,37
1968-04-04,36
1968-04-05,37
1968-04-06,null
1968-04-07,null
1968-04-08,37
1968-04-09,37
1968-04-10,37
1968-04-11,38
1968-04-12,null
1968-04-13,null
1968-04-14,null
1968-04-15,null
1968-04-16,38
1968-04-17,37
1968-04-18,37
1968-04-19,37
1968-04-20,null
1968-04-21,null
1968-04-22,38
1968-04-23,38
1968-04-24,38
1968-04-25,38
1968-04-26,38
1968-04-27,null
1968-04-28,null
1968-04-29,38
1968-04-30,39
1968-05-01,39
1968-05-02,39
1968-05-03,39
1968-05-04,null
1968-05-05,null
1968-05-06,39
1968-05-07,39
1968-05-08,39
1968-05-09,39
1968-05-10,39
1968-05-11,null
1968-05-12,null
1968-05-13,39
1968-05-14,39
1968-05-15,40
1968-05-16,41
1968-05-17,41
1968-05-18,null
1968-05-19,null
1968-05-20,42
1968-05-21,42
1968-05-22,41
1968-05-23,41
1968-05-24,41
1968-05-25,null
1968-05-26,null
1968-05-27,41
1968-05-28,41
1968-05-29,41
1968-05-30,41
1968-05-31,41
1968-06-01,null
1968-06-02,null
1968-06-03,null
1968-06-04,41
1968-06-05,41
1968-06-06,41
1968-06-07,41
1968-06-08,null
1968-06-09,null
1968-06-10,41
1968-06-11,41
1968-06-12,41
1968-06-13,41
1968-06-14,41
1968-06-15,null
1968-06-16,null
1968-06-17,40
1968-06-18,41
1968-06-19,41
1968-06-20,41
1968-06-21,41
1968-06-22,null
1968-06-23,null
1968-06-24,40
1968-06-25,40
1968-06-26,40
1968-06-27,40
1968-06-28,40
1968-06-29,null
1968-06-30,null
1968-07-01,40
1968-07-02,40
1968-07-03,41
1968-07-04,41
1968-07-05,41
1968-07-06,null
1968-07-07,null
1968-07-08,40
1968-07-09,39
1968-07-10,40
1968-07-11,39
1968-07-12,39
1968-07-13,null
1968-07-14,null
1968-07-15,39
1968-07-16,38
1968-07-17,37
1968-07-18,38
1968-07-19,38
1968-07-20,null
1968-07-21,null
1968-07-22,38
1968-07-23,39
1968-07-24,39
1968-07-25,38
1968-07-26,38
1968-07-27,null
1968-07-28,null
1968-07-29,39
1968-07-30,39
1968-07-31,38
1968-08-01,38
1968-08-02,38
1968-08-03,null
1968-08-04,null
1968-08-05,38
1968-08-06,38
1968-08-07,38
1968-08-08,38
1968-08-09,38
1968-08-10,null
1968-08-11,null
1968-08-12,38
1968-08-13,38
1968-08-14,38
1968-08-15,39
1968-08-16,39
1968-08-17,null
1968-08-18,null
1968-08-19,39
1968-08-20,39
1968-08-21,40
1968-08-22,39
1968-08-23,39
1968-08-24,null
1968-08-25,null
1968-08-26,39
1968-08-27,39
1968-08-28,39
1968-08-29,39
1968-08-30,39
1968-08-31,null
1968-09-01,null
1968-09-02,null
1968-09-03,39
1968-09-04,39
1968-09-05,40
1968-09-06,39
1968-09-07,null
1968-09-08,null
1968-09-09,40
1968-09-10,40
1968-09-11,40
1968-09-12,40
1968-09-13,40
1968-09-14,null
1968-09-15,null
1968-09-16,40
1968-09-17,40
1968-09-18,40
1968-09-19,40
1968-09-20,40
1968-09-21,null
1968-09-22,null
1968-09-23,40
1968-09-24,40
1968-09-25,40
1968-09-26,40
1968-09-27,40
1968-09-28,null
1968-09-29,null
1968-09-30,39
1968-10-01,39
1968-10-02,38
1968-10-03,39
1968-10-04,39
1968-10-05,null
1968-10-06,null
1968-10-07,39
1968-10-08,39
1968-10-09,38
1968-10-10,39
1968-10-11,39
1968-10-12,null
1968-10-13,null
1968-10-14,39
1968-10-15,39
1968-10-16,38
1968-10-17,39
1968-10-18,39
1968-10-19,null
1968-10-20,null
1968-10-21,39
1968-10-22,39
1968-10-23,39
1968-10-24,39
1968-10-25,39
1968-10-26,null
1968-10-27,null
1968-10-28,39
1968-10-29,39
1968-10-30,39
1968-10-31,39
1968-11-01,39
1968-11-02,null
1968-11-03,null
1968-11-04,39
1968-11-05,39
1968-11-06,39
1968-11-07,39
1968-11-08,39
1968-11-09,null
1968-11-10,null
1968-11-11,39
1968-11-12,39
1968-11-13,39
1968-11-14,39
1968-11-15,40
1968-11-16,null
1968-11-17,null
1968-11-18,39
1968-11-19,40
1968-11-20,40
1968-11-21,40
1968-11-22,40
1968-11-23,null
1968-11-24,null
1968-11-25,40
1968-11-26,39
1968-11-27,39
1968-11-28,39
1968-11-29,39
1968-11-30,null
1968-12-01,null
1968-12-02,40
1968-12-03,40
1968-12-04,40
1968-12-05,40
1968-12-06,40
1968-12-07,null
1968-12-08,null
1968-12-09,40
1968-12-10,40
1968-12-11,40
1968-12-12,40
1968-12-13,41
1968-12-14,null
1968-12-15,null
1968-12-16,40
1968-12-17,41
1968-12-18,41
1968-12-19,41
1968-12-20,41
1968-12-21,null
1968-12-22,null
1968-12-23,41
1968-12-24,null
1968-12-25,null
1968-12-26,null
1968-12-27,41
1968-12-28,null
1968-12-29,null
1968-12-30,41
1968-12-31,41
1969-01-01,null
1969-01-02,41
1969-01-03,42
1969-01-04,null
1969-01-05,null
1969-01-06,42
1969-01-07,42
1969-01-08,42
1969-01-09,42
1969-01-10,42
1969-01-11,null
1969-01-12,null
1969-01-13,42
1969-01-14,42
1969-01-15,42
1969-01-16,42
1969-01-17,42
1969-01-18,null
1969-01-19,null
1969-01-20,42
1969-01-21,42
1969-01-22,42
1969-01-23,42
1969-01-24,42
1969-01-25,null
1969-01-26,null
1969-01-27,42
1969-01-28,42
1969-01-29,42
1969-01-30,42
1969-01-31,42
1969-02-01,null
1969-02-02,null
1969-02-03,42
1969-02-04,42
1969-02-05,42
1969-02-06,42
1969-02-07,42
1969-02-08,null
1969-02-09,null
1969-02-10,42
1969-02-11,42
1969-02-12,42
1969-02-13,42
1969-02-14,42
1969-02-15,null
1969-02-16,null
1969-02-17,42
1969-02-18,42
1969-02-19,42
1969-02-20,42
1969-02-21,42
1969-02-22,null
1969-02-23,null
1969-02-24,42
1969-02-25,42
1969-02-26,42
1969-02-27,42
1969-02-28,42
1969-03-01,null
1969-03-02,null
1969-03-03,42
1969-03-04,42
1969-03-05,43
1969-03-06,43
1969-03-07,43
1969-03-08,null
1969-03-09,null
1969-03-10,43
1969-03-11,42
1969-03-12,42
1969-03-13,43
1969-03-14,43
1969-03-15,null
1969-03-16,null
1969-03-17,43
1969-03-18,43
1969-03-19,43
1969-03-20,43
1969-03-21,43
1969-03-22,null
1969-03-23,null
1969-03-24,43
1969-03-25,43
1969-03-26,43
1969-03-27,43
1969-03-28,43
1969-03-29,null
1969-03-30,null
1969-03-31,42
1969-04-01,43
1969-04-02,43
1969-04-03,43
1969-04-04,null
1969-04-05,null
1969-04-06,null
1969-04-07,null
1969-04-08,43
1969-04-09,43
1969-04-10,43
1969-04-11,43
1969-04-12,null
1969-04-13,null
1969-04-14,43
1969-04-15,42
1969-04-16,43
1969-04-17,43
1969-04-18,43
1969-04-19,null
1969-04-20,null
1969-04-21,43
1969-04-22,43
1969-04-23,43
1969-04-24,43
1969-04-25,43
1969-04-26,null
1969-04-27,null
1969-04-28,43
1969-04-29,43
1969-04-30,43
1969-05-01,43
1969-05-02,43
1969-05-03,null
1969-05-04,null
1969-05-05,43
1969-05-06,43
1969-05-07,43
1969-05-08,43
1969-05-09,43
1969-05-10,null
1969-05-11,null
1969-05-12,43
1969-05-13,43
1969-05-14,43
1969-05-15,43
1969-05-16,43
1969-05-17,null
1969-05-18,null
1969-05-19,43
1969-05-20,43
1969-05-21,43
1969-05-22,43
1969-05-23,43
1969-05-24,null
1969-05-25,null
1969-05-26,null
1969-05-27,43
1969-05-28,43
1969-05-29,43
1969-05-30,43
1969-05-31,null
1969-06-01,null
1969-06-02,42
1969-06-03,42
1969-06-04,42
1969-06-05,41
1969-06-06,40
1969-06-07,null
1969-06-08,null
1969-06-09,41
1969-06-10,42
1969-06-11,41
1969-06-12,41
1969-06-13,41
1969-06-14,null
1969-06-15,null
1969-06-16,40
1969-06-17,41
1969-06-18,41
1969-06-19,41
1969-06-20,41
1969-06-21,null
1969-06-22,null
1969-06-23,41
1969-06-24,40
1969-06-25,40
1969-06-26,41
1969-06-27,41
1969-06-28,null
1969-06-29,null
1969-06-30,41
1969-07-01,41
1969-07-02,41
1969-07-03,41
1969-07-04,41
1969-07-05,null
1969-07-06,null
1969-07-07,41
1969-07-08,42
1969-07-09,41
1969-07-10,41
1969-07-11,41
1969-07-12,null
1969-07-13,null
1969-07-14,42
1969-07-15,42
1969-07-16,41
1969-07-17,41
1969-07-18,41
1969-07-19,null
1969-07-20,null
1969-07-21,42
1969-07-22,41
1969-07-23,41
1969-07-24,41
1969-07-25,41
1969-07-26,null
1969-07-27,null
1969-07-28,41
1969-07-29,41
1969-07-30,41
1969-07-31,41
1969-08-01,41
1969-08-02,null
1969-08-03,null
1969-08-04,41
1969-08-05,41
1969-08-06,41
1969-08-07,41
1969-08-08,41
1969-08-09,null
1969-08-10,null
1969-08-11,41
1969-08-12,41
1969-08-13,41
1969-08-14,41
1969-08-15,41
1969-08-16,null
1969-08-17,null
1969-08-18,41
1969-08-19,41
1969-08-20,41
1969-08-21,41
1969-08-22,41
1969-08-23,null
1969-08-24,null
1969-08-25,40
1969-08-26,40
1969-08-27,40
1969-08-28,40
1969-08-29,40
1969-08-30,null
1969-08-31,null
1969-09-01,null
1969-09-02,40
1969-09-03,40
1969-09-04,40
1969-09-05,40
1969-09-06,null
1969-09-07,null
1969-09-08,40
1969-09-09,41
1969-09-10,40
1969-09-11,40
1969-09-12,41
1969-09-13,null
1969-09-14,null
1969-09-15,41
1969-09-16,41
1969-09-17,40
1969-09-18,40
1969-09-19,40
1969-09-20,null
1969-09-21,null
1969-09-22,40
1969-09-23,40
1969-09-24,40
1969-09-25,40
1969-09-26,40
1969-09-27,null
1969-09-28,null
1969-09-29,40
1969-09-30,40
1969-10-01,40
1969-10-02,40
1969-10-03,40
1969-10-04,null
1969-10-05,null
1969-10-06,40
1969-10-07,40
1969-10-08,40
1969-10-09,40
1969-10-10,40
1969-10-11,null
1969-10-12,null
1969-10-13,40
1969-10-14,40
1969-10-15,40
1969-10-16,40
1969-10-17,40
1969-10-18,null
1969-10-19,null
1969-10-20,40
1969-10-21,40
1969-10-22,40
1969-10-23,40
1969-10-24,40
1969-10-25,null
1969-10-26,null
1969-10-27,40
1969-10-28,40
1969-10-29,39
1969-10-30,39
1969-10-31,39
1969-11-01,null
1969-11-02,null
1969-11-03,39
1969-11-04,39
1969-11-05,39
1969-11-06,39
1969-11-07,38
1969-11-08,null
1969-11-09,null
1969-11-10,38
1969-11-11,38
1969-11-12,37
1969-11-13,37
1969-11-14,37
1969-11-15,null
1969-11-16,null
1969-11-17,37
1969-11-18,37
1969-11-19,36
1969-11-20,36
1969-11-21,36
1969-11-22,null
1969-11-23,null
1969-11-24,35
1969-11-25,35
1969-11-26,35
1969-11-27,35
1969-11-28,35
1969-11-29,null
1969-11-30,null
1969-12-01,35
1969-12-02,35
1969-12-03,35
1969-12-04,35
1969-12-05,35
1969-12-06,null
1969-12-07,null
1969-12-08,35
1969-12-09,35
1969-12-10,35
1969-12-11,35
1969-12-12,35
